"webcamId","X0.","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90.","X100."
30,0.1,3.85,5.55,7.2,8.8,11.25,13,15.1,17.5,22.5,68.35
93,0,4,5,6,8,9,10,13,16,21,64
204,0,3.8,5.6,7.1,8.6,11,12.8,15,17.9,23.2,67.3
1066,0,1,2,3,4,5,6,7,8,11,66
1333,0,3,4,5,6,7,9,11,13,17,67
2045,0,1.4,2.9,4,4.9,5.9,7,8.8,12.3,17.99,69
5207,0,1,2,3,4,5,6,7,8,10,69
6629,0.8,3,3.83333333333333,4.7,5.6,6.6,7.7,10.1,12.4,16.8166666666667,64.45
13342,0,1.8,2.7,3.47500000000005,4.2,4.9,5.9,7.1,8.9,15.35,68.6
17603,0,3.95,5.65,7,8.4,10.8,12.4,14.2,16.4,20.65,68.35
18879,0,1.5,2.5,3.5,4.4,5.4,6.6,8,11,16.9,68.9
20258,0,1.7,2.8,3.6,4.35,5.1,5.8,6.7,7.9,12.2,68.45
20265,0,3.1,4.6,5.7,6.6,7.5,8.4,10.4,12.2,15.9,69
21587,0,2.6,4.5,6.2,7.8,10.4,12.2,14.8,17.9,23.6,68.5
21673,0,2.6,4.5,6.2,7.9,10.4,12.2,14.8,17.9,23.6,68.5
22014,0,2,3.2,4.3,5.3,6.5,7.8,10.3,12.5,16.1,56.8
